ranking_posicion;empresa;nit;departamento;ciudad;contacto;email;telefono;modalidad;vacantes;postulados;competencia_ratio;cat_badge;puntaje_exito;escalabilidad_score;reputacion_rating;apoyo_sostenimiento;salario_egresado_jr;techo_salarial_5anios;fecha_cierre
1;CLARO INSURANCE S.A.S;901144120;Caldas;Anserma;Eliana Medina;emedina@claroinsurance.com;3058138695;Presencial / No especificado;1;0;0.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);30/09/2026
2;SOFTWARE INMOBILIARIO WASI S.A.S.;901037816;Bogota D.C.;Bogota D. C.;Laura Duarte;laura.duarte@lifullconnect.com;3143976404;Remoto;2;2;1.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);30/09/2026
3;GEOCOM SOFTWARE COLOMBIA SAS;901080045;Bogota D.C.;Bogota D. C.;Yudis Perez Beleño;yperez@geocom.com.uy;3165713475;Presencial / No especificado;1;1;1.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);10/09/2026
4;STEFANINI COLOMBIA S.A.S;800114672;Bogota D.C.;Bogota D. C.;Johana Avilés;ljdelgado@stefanini.com;33333333;Presencial / No especificado;6;16;2.67;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);30/09/2026
5;TELEMATICA SAS;844000518;Casanare;Yopal;Marcela Nova;wendy.nova@telematicacol.com;3058149131;Presencial / No especificado;2;6;3.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);11/09/2026
6;SII GROUP COLOMBIA SAS - SII GROUP COLOMBIA;900278864;Bogota D.C.;Bogota D. C.;Cindy Bejarano;cindy.bejarano@sii-group.co;3188186782;Presencial / No especificado;1;3;3.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);16/09/2026
7;OMNI.PRO COLOMBIA S.A.S.;901252729;Cundinamarca;Soacha;Margarita Barrero;margarita.barrero@omni.pro;3173660669;Presencial / No especificado;1;4;4.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
8;DESIGNER SOFTWARE S.A.S;830045567;Bogota D.C.;Bogota D. C.;YADY VILLARREAL;rrhh@nomina.com.co;3174289926;Presencial / No especificado;1;4;4.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);30/09/2026
9;TECNOLOGIAS LAN S.A.S;901635607;Antioquia;Medellin;Ana Maldonado;info@tecnologiaslan.com;3015118073;Presencial / No especificado;1;21;21.0;Tier 1 · Élite Software & Tech;99;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
10;SOFTWARE QUALITY ASSURANCE S.A.;811042907;Bogota D.C.;Bogota D. C.;Karen Torres;talentos1.sqa@sqasa.co;3102452950;Presencial / No especificado;15;34;2.27;Tier 1 · Élite Software & Tech;97;96;4.4;$1.423.500 COP (100% SMMLV);$3.000.000 a $5.000.000+ COP;$10M - $22M+ COP ($3.0k - $6.0k USD Remoto);31/08/2026
